# Copyright 2008 Google Inc. All rights reserved.
# This file was machine-generated, do not edit.
# This file is encoded in UTF-8, do not reencode.
# ICU4J version 4.0.0.0
# Generated on 2008-10-01 12:41:27 with com.google.i18n.identifiers.impl.tools.BuildLanguageNameTables by dougfelt
x-bork;x-bork;Bork, bork, bork!
to;ml;ടോംഗന്‍
tmh;ml;ടമഷേക്
tn;ml;ത്സ്വാന
nub;ml;നുബിയന്‍ ഭാഷ
tl;ml;തഗാലോഗ്
ts;ml;ത്സോംഗ
tr;ml;തുര്‍ക്കി
cop;ml;കോപ്റ്റിക്
ssa;ml;നിളോ-സഹാറന്‍ ഭാഷ
tg;ml;താജിക്
te;ml;തെലുങ്ക്
tk;ml;തുര്‍ക്കമന്‍
ti;ml;തിഗ്രിന്യ
th;ml;തായ്
ta;ml;തമിഴ്
su;ml;സുഡാനീസ്
sv;ml;സ്വീഡിഷ്
ss;ml;സ്വാറ്റി
cpf;ml;ഫ്രഞ്ച് അധിഷ്ഠിത മിശ്രഭാഷ
st;ml;തെക്കന്‍ സോതോ
cpe;ml;ഇംഗ്ലീഷ് അധിഷ്ഠിത മിശ്ര ഭാഷ
lua;ml;ലൂബ-ലുലുവ
oto;ml;ഓട്ടോമിയന്‍ ഭാഷ
sw;ml;സ്വാഹിലി
sl;ml;സ്ലോവേനിയന്‍
sk;ml;സ്ലോവാക്ക്
sn;ml;ഷോണാ
sm;ml;സമോവന്‍
cpp;ml;പോര്‍ച്ചുഗീസ് അധിഷ്ടിത മിശ്ര ഭാഷ
so;ml;സോമാലി
sr;ml;സെര്‍ബിയന്‍
sq;ml;അല്‍ബേനിയന്‍
sd;ml;സിന്ധി
ota;ml;ഓട്ടോമന്‍ തുര്‍ക്കിഷ്
sc;ml;സര്‍ഡിനിയാന്‍
se;ml;നോര്‍ത്തേന്‍ സമി
sh;ml;സെര്‍ബിയന്‍
sg;ml;സാങ്കോ
si;ml;സിംഹള
goh;ml;പ്രാചീന ഉച്ച ജര്‍മന്‍
dum;ml;മദ്ധ്യ ഡച്ച്
nso;ml;നോര്‍ത്തേന്‍ സോതോ
sa;ml;സംസ്കൃതം
zun;ml;സുനി
gon;ml;ഗോണ്ഡി
gor;ml;ഗൊറോന്‍റാലോ
ru;ml;റഷ്യന്‍
got;ml;ഗോഥിക്ക്
dua;ml;ദ്വാല
rw;ml;കിന്യര്‍വണ്ട
car;ml;കാരിബ്
ro;ml;റൊമാനിയന്‍
ypk;ml;യുപിക്
cau;ml;കാവോകേഷ്യന്‍ ഭാഷ
rn;ml;റുണ്ടി
rm;ml;രഹയ്ട്ടോ-റോമന്‍സ്
tog;ml;ന്യാസാ ഡോങ്ക
en_US;ml;ഇംഗ്ലീഷ് (അമേരിക്കന്‍ ഐക്യനാടുകള്‍)
iro;ml;ഇറോക്വായിയന്‍ ഭാഷ
pra;ml;പ്രാകൃതം
suk;ml;സുകുമ
hsb;ml;അപ്പര്‍ സോര്‍ബിയന്‍
sus;ml;സുസു
cad;ml;കാഡോ
sux;ml;സുമേരിയന്‍
zxx;ml;ഭാഷയല്ലാത്തവ
dra;ml;ദ്രാവിഡഭാഷ
qu;ml;ക്വെച്ചുവ
es_ES;ml;സ്പാനിഷ് (സ്പെയിന്‍)
cai;ml;മദ്ധ്യ അമേരിക്കന്‍ ഇന്‍ഡ്യന്‍ ഭാഷ
crh;ml;കൃമിയന്‍ ടര്‍ക്കിഷ്
grb;ml;ഗ്രബൊ
mus;ml;ക്രീക്ക്
tpi;ml;ടോക് പിസിന്‍
crp;ml;മിശ്രഭാഷ
grc;ml;പുരാതനയവനഭാഷ
mul;ml;പലഭാഷകള്‍
mun;ml;മുണ്ഡ ഭാഷ
frm;ml;മദ്ധ്യ ഫ്രഞ്ച്
nqo;ml;ഇന്‍കോ
fro;ml;പഴയ ഫ്രഞ്ച്
ira;ml;ഇറാനിയന്‍ ഭാഷ
frs;ml;ഈസ്റ്റേണ്‍ ഫ്രിഷ്യന്‍
frr;ml;നോര്‍ത്തേന്‍ ഫ്രിഷ്യന്‍
csb;ml;കാഷുബിയാന്‍
pro;ml;പ്രൊവന്‍ഷ്ല്‍
pt;ml;പോര്‍ച്ചുഗീസ്
dsb;ml;ലോവര്‍ സോര്‍ബിയന്‍
jrb;ml;ജൂഡിയോ-അറബിക്
ps;ml;പഷ്തു
tai;ml;തായ് ഭാഷ
sad;ml;സാന്‍ഡവേ
tig;ml;ടൈഗ്രി
fon;ml;ഫോന്‍
sah;ml;യാകൂട്
sai;ml;ദക്ഷിണ അമേരിക്കന്‍ ഇന്‍ഡ്യന്‍ ഭാഷ
sal;ml;സാലിഷാന്‍ ഭാഷ
sam;ml;സമരിയാക്കാരുടെ അരമായ
kbd;ml;കബര്‍ഡിയാന്‍
cch;ml;അറ്റ്സാം
umb;ml;ഉംബുന്ദു
en_GB;ml;ഇംഗ്ലീഷ് (ബ്രിട്ടന്‍)
arc;ml;അരമായഭാഷ
arp;ml;അരപാഹോ
dgr;ml;ഡോഗ്രിബ്
arn;ml;ആരൌകാനിയന്‍
bra;ml;ബ്രജ്
kaw;ml;കാവി
zza;ml;സാസാ
gsw;ml;സ്വിസ് ജര്‍മന്‍
arw;ml;അറാവക്
kar;ml;കരേന്‍
nog;ml;നോഗൈ
art;ml;കൃത്രിമഭാഷ
kam;ml;കംബ
kaj;ml;ജ്ജു
non;ml;പഴയ പേര്‍ഷ്യന്‍
mga;ml;മദ്ധ്യ ഐറിഷ്
und;ml;അറിയാത്തതോ നിലവിലില്ലാത്തതോ ആയ ഭാഷ
elx;ml;എലാമൈറ്റ്
kac;ml;കാചിന്‍
kab;ml;കബൈല്‍
kaa;ml;കര-കാല്‍പ്പക്
sat;ml;സന്താലി
sas;ml;സസാക്
tiv;ml;ടിവ്
tkl;ml;ടൊക്കേലൌ
pt_BR;ml;പോര്‍ച്ചുഗീസ് (ബ്രസീല്‍)
apa;ml;അപ്പാചേ ഭാഷ
gwi;ml;ഗ്വിച്ച് ഇന്‍
osa;ml;ഒസേജ്
btk;ml;ബാറ്റക്
cel;ml;സെല്‍റ്റിക് ഭാഷ
del;ml;ദലവാരെ
den;ml;സ്ലേവ്
lez;ml;ലഹ്ഗിയാന്‍
ceb;ml;സെബുവാനോ
min;ml;മിനാങ്കബൌ
hup;ml;ഹൂപ
tli;ml;ലിംഗ്വിറ്റ്
enm;ml;മദ്ധ്യ ഇംഗ്ലീഷ്
bua;ml;ബുറിയത്ത്
tlh;ml;ക്ലിങ്ഗോണ്‍
mis;ml;ഇതരഭാഷ
mic;ml;മിക്മാക്
bug;ml;ബുഗിനീസ്
tem;ml;ടിംനേ
sit_NP;ml;ചീന-ടിബത്തന്‍ ഭാഷ (നേപ്പാള്‍)
chb;ml;ചിബ്ച
egy;ml;പ്രാചീന ഈജിപ്ത്യന്‍
de_AT;ml;ജര്‍മ്മന്‍ (ഓസ്ട്രിയ)
awa;ml;അവധി
chy;ml;ചിയേന്നേ
chg;ml;ചഗതൈ
chk;ml;ചൂകീസ്
mkh;ml;മോണ്‍-ഖമര്‍ ഭാഷ
cho;ml;ചോക്റ്റാവ്
chp;ml;ചിപേവ്യന്‍
chm;ml;മാരി
chn;ml;ചിനൂഗ്-ജാര്‍ഗണ്‍
tet;ml;ടെറ്റും
ter;ml;ടെറേനോ
chr;ml;ചെരോകീ
zh;ml;ചൈനീസ്
fil;ml;ഫിലിപ്പിനോ
ast;ml;ഓസ്‌ട്രിയന്‍
za;ml;സ്വാംഗ്
mni;ml;മണിപ്പൂരി
din;ml;ദിന്‍ക
fiu;ml;ഫിന്നോ-ഉഗ്രിയന്‍ ഭാഷ
zu;ml;സുളു
mno;ml;മനോബോ ഭാഷ
vot;ml;വോട്ടിക്
uga;ml;ഉഗറിട്ടിക്
mnc;ml;മന്‍ചു
ath;ml;അതപാസ്കന്‍ ഭാഷ
nic;ml;നൈ‍ജര്‍-കോര്‍‍ഡോഫാനിയന്‍
nia;ml;നിയാസ്
byn;ml;ബ്ലിന്‍
de_CH;ml;ജര്‍മ്മന്‍ (സ്വിറ്റ്സര്‍ലന്‍ഡ്)
niu;ml;ന്യുവാന്‍
eka;ml;എകാജുക്
aus;ml;ഓസ്ട്രേലിയന്‍ ഭാഷ
yo;ml;യൊറൂബാ
yi;ml;യിദ്ദിഷ്
fy;mr;फ्रिसियन्
gd;mr;स्काटस् गेलिक
ga;mr;ऐरिष
fj;mr;फिजी
fi;mr;फिन्निष
fr;mr;फ्रेन्च
fo;mr;फेरोस्
he;mr;हेबृ
ha;mr;हौसा
gn;mr;गौरानी
gl;mr;गेलीशियन
gu;mr;गुजराती
dz;mr;भूटानी
de;mr;जर्मन
eu;mr;बास्क
fa;mr;पर्षियन्
el;mr;ग्रीक
eo;mr;इस्परान्टो
en;mr;इंग्रेजी
et;mr;इस्टोनियन्
es;mr;स्पानिष
ca;mr;कटलन
root;mr;शिखर
br;mr;ब्रेटन
bn;mr;बंगाली
bo;mr;तिबेटियन
bg;mr;बल्गेरियन
bh;mr;बीहारी
bi;mr;बिसलमा
be;mr;बैलोरुसियन
da;mr;डानिष
cy;mr;वेल्ष
cs;mr;ज़ेक
co;mr;कोर्सिकन
az;mr;अज़रबाइजानी
ay;mr;ऐमरा
ba;mr;बष्किर
as;mr;असामी
ar;mr;अरेबिक
am;mr;अमहारिक
aa;mr;अफार
ab;mr;अबखेजियन
af;mr;अफ्रिकान्स
no;mr;नोर्वेजियन
oc;mr;ओसिटान्
om;mr;ओरोमो (अफान)
or;mr;ओरिया
pa;mr;पंजाबी
pl;mr;पोलिष
lo;mr;लाओतियन्
ln;mr;लिंगाला
lv;mr;लाट्वियन् (लेट्टिष)
lt;mr;लिथुआनियन्
kok;mr;कोंकणी
mg;mr;मलागसी
mk;mr;मसीडोनियन्
ml;mr;मलियालम
mi;mr;माओरी
mn;mr;मंगोलियन्
mo;mr;मोल्डावियन्
mr;mr;मराठी
mt;mr;मालतीस्
ms;mr;मलय
my;mr;बर्मीस्
na;mr;नौरो
ne;mr;नेपाली
nl;mr;डच
jv;mr;जावनीस्
ka;mr;जार्जियन्
ky;mr;किर्गिज़
ks;mr;कश्मीरी
ku;mr;कुर्दिष
ko;mr;कोरियन्
kk;mr;कज़क
kl;mr;ग्रीनलान्डिक
km;mr;कंबोडियन
kn;mr;कन्नड
la;mr;लाटिन
hr;mr;क्रोयेषियन्
hu;mr;हंगेरियन्
hi;mr;हिन्दी
id;mr;इन्डोनेषियन
ia;mr;इन्टरलिंग्वा
ie;mr;इन्टरलिंग
hy;mr;आर्मीनियन्
is;mr;आईसलान्डिक
it;mr;इटालियन
iu;mr;इनुकिटुट्
ik;mr;इनूपियाक
ja;mr;जापनीस्
xh;mr;क्स्होसा
wo;mr;उलोफ
vi;mr;वियत्नामीज़
vo;mr;ओलापुक
uz;mr;उज़बेक
uk;mr;युक्रेनियन्
ug;mr;उधूर
ur;mr;उर्दू
tt;mr;टटार
tw;mr;त्वि
to;mr;तोंगा
tn;mr;सेत्स्वाना
tl;mr;तगालोग
ts;mr;त्सोगा
tr;mr;तुर्किष
tg;mr;तजिक
te;mr;तेलंगू
tk;mr;तुर्कमेन
ti;mr;तिग्रिन्या
th;mr;थाई
ta;mr;तमिळ
su;mr;सुंदनीस्
sv;mr;स्वीडिष
ss;mr;सिस्वती
st;mr;सेसोथो
sw;mr;स्वाहिली
sl;mr;स्लोवेनियन्
sk;mr;स्लोवाक
sn;mr;शोना
sm;mr;समोन
so;mr;सोमाली
sr;mr;सेर्बियन्
sq;mr;आल्बेनियन्
sd;mr;सिंधी
sh;mr;सेर्बो-क्रोयेषियन्
sg;mr;सांग्रो
si;mr;सिन्हलीस्
sa;mr;संस्कृत
ru;mr;रष्यन्
rw;mr;किन्यार्वान्डा
ro;mr;रोमानियन्
rn;mr;किरुन्दी
rm;mr;रहटो-रोमान्स्
qu;mr;क्वेचओ
pt;mr;पोर्चुगीस्
ps;mr;पष्टो (पुष्टो)
pt_BR;mr;पोर्चुगीस् (ब्राजील)
zh;mr;चिनीस्
za;mr;झ्हुन्ग
zu;mr;जुलू
yo;mr;यूरुबा
yi;mr;इद्दिष
fy;ms;Frisian
gd;ms;Scots Gaelic
gl;ms;Galicia
gu;ms;Gujerat
eu;ms;Basque
fa;ms;Parsi
eo;ms;Esperanto
ca;ms;Catalonia
bs;ms;Bosnia
bn;ms;Benggala
be;ms;Belarus
cy;ms;Wales
as;ms;Assam
ar;ms;Arab
am;ms;Amharic
af;ms;Afrikaans
nn;ms;Nynorsk Norway
pa;ms;Punjabi
lo;ms;Laos
ln;ms;Lingala
ml;ms;Malayalam
mn;ms;Mongolia
mr;ms;Marathi
mt;ms;Malta
ms;ms;Bahasa Melayu
ne;ms;Nepal
ka;ms;Georgia
km;ms;Khmer
kn;ms;Kannada
la;ms;Latin
hr;ms;Croat
hu;ms;Hungary
id;ms;Indonesia
hy;ms;Armenia
vi;ms;Vietnam
ug;ms;Uighur
te;ms;Telugu
ti;ms;Tigrinya
th;ms;Thai
ta;ms;Tamil
su;ms;Sunda
sw;ms;Swahili
sl;ms;Slovenia
sk;ms;Slovak
so;ms;Somali
sr;ms;Serbia
sq;ms;Albania
sd;ms;Sindhi
sh;ms;SerboCroatia
si;ms;Sinhala
sa;ms;Sanskrit
zh_Hant;mt;Ċiniż (Ħan Tradizzjonali)
fy;mt;Friżjan
gd;mt;Galliku Skoċċiż
ga;mt;Irlandiż
shn;mt;Xan
fj;mt;Fiġi
ff;mt;Fulaħ
fi;mt;Finlandiż
fr;mt;Franċiż
fo;mt;Fawriż
zh_Hans;mt;Ċiniż (Ħan Sempliċi)
udm;mt;Udmurt
sga;mt;Irlandiż, Antik (sa l-900)
he;mt;Ebrajk
ha;mt;Ħawsa
sgn;mt;Lingwa tas-Sinjali
gn;mt;Gwarani
gil;mt;Gilbertjan
gl;mt;Gallegjan
ain;mt;Ajnu
gv;mt;Manks
bik;mt;Bikol
gu;mt;Guġarati
iba;mt;Iban
bin;mt;Bini
dv;mt;Diveħi
dz;mt;Dżongka
de;mt;Ġermaniż
mai;mt;Majtili
fr_CH;mt;Franċiż (Svizzera)
mak;mt;Makasar
mad;mt;Maduriż
mag;mt;Magaħi
map;mt;Awstronesjan
fr_CA;mt;Franċiż (Kanada)
mas;mt;Masaj
wen;mt;Lingwi Sorbjani
nl_BE;mt;Olandiż (Belġju)
man;mt;Mandingwan
sid;mt;Sidamo
eu;mt;Bask
khi;mt;Kojsan
fa;mt;Persjan
kha;mt;Kasi
bla;mt;Siksika
sit;mt;Sino-Tibetjani (Oħra)
new;mt;Newari
ee;mt;Ewe
el;mt;Grieg
sio;mt;Lingwi Suwjani
zen;mt;Żenaga
eo;mt;Esperanto
en;mt;Ingliż
et;mt;Estonjan
kho;mt;Kotaniż
es;mt;Spanjol
efi;mt;Efik
ca;mt;Katalan
hai;mt;Ħajda
root;mt;Għerq
haw;mt;Ħawajjan
bs;mt;Bosnijan
br;mt;Brenton
bn;mt;Bengali
bo;mt;Tibetjan
bm;mt;Bambara
anp;mt;Angika
bg;mt;Bulgaru
bh;mt;Biħari
bi;mt;Bislama
be;mt;Belarussu
bnt;mt;Bantu
da;mt;Daniż
ang;mt;Ingliż, Antik
nds;mt;Ġermaniż Komuni; Sassonu Komuni
mdf;mt;Moksha
fat;mt;Fanti
dak;mt;Dakota
cy;mt;Welx
cv;mt;Ċuvax
fan;mt;Fang
cu;mt;Slaviku tal-Knisja
gez;mt;Geez
cs;mt;Ċek
mdr;mt;Mandar
cr;mt;Krij
dar;mt;Dargwa
co;mt;Korsiku
jbo;mt;Lojban
day;mt;Dajak
ch;mt;Ċamorro
sco;mt;Skoċċiż
gem;mt;Ġermaniku (Oħra)
ce;mt;Ċeċen
nap;mt;Neapolitan
es_419;mt;Spanjol (Amerika Latina u l-Karibew)
rap;mt;Rapanwi
rar;mt;Rarotongani
nah;mt;Naħwatil
nai;mt;Indjan tal-Amerika ta’ Fuq (Oħra)
lad;mt;Ladino
lah;mt;Landa
pau;mt;Palawjan
lam;mt;Lamba
men;mt;Mende
en_AU;mt;Ingliż (Awstralja)
en_CA;mt;Ingliż (Kanada)
alg;mt;Lingwi Algonqwinjani
az;mt;Ażerbajġani
paa;mt;Papwan (Oħra)
ay;mt;Ajmara
ba;mt;Baxkir
pag;mt;Pangasinjan
ale;mt;Aleut
as;mt;Assamese
pal;mt;Paħlavi
ar;mt;Għarbi
pap;mt;Papjamento
av;mt;Avarik
pam;mt;Pampamga
ak;mt;Akan
raj;mt;Raġastani
yap;mt;Japese
am;mt;Amħariku
an;mt;Aragonese
yao;mt;Jao
aa;mt;Afar
zap;mt;Żapotek
ab;mt;Abkażjan
vai;mt;Vai
sem;mt;Semitiku
akk;mt;Akkadjen
sel;mt;Selkup
ae;mt;Avestan
af;mt;Afrikans
nr;mt;Ndebele, t’Isfel
krc;mt;Karachay-Balkar
no;mt;Norveġiż
nn;mt;Ninorsk Norveġiż
gba;mt;Gbaja
ny;mt;Ċiċewa; Njanġa
nv;mt;Navaħo
pt_PT;mt;Portugiż (Portugall)
oc;mt;Oċċitan
lui;mt;Luwisinuż
kut;mt;Kutenaj
luo;mt;Luwa
lun;mt;Lunda
om;mt;Oromo (Afan)
lus;mt;Luxaj
phn;mt;Feniċju
kum;mt;Kumiku
oj;mt;Oġibwa
phi;mt;Filippin (Oħra)
tyv;mt;Tuvinjan
ban;mt;Baliniż
os;mt;Ossettiku
bal;mt;Baluċi
bai;mt;Lingwi Bamileke
rom;mt;Żingaru
or;mt;Orija
son;mt;Songaj
bad;mt;Banda
ijo;mt;Iġo
gaa;mt;Ga
kro;mt;Kru
roa;mt;Romanz (Oħra)
sog;mt;Sogdien
pa;mt;Punġabi
gay;mt;Gajo
kru;mt;Kurusk
pl;mt;Pollakk
bat;mt;Baltiku (Oħra)
bas;mt;Basa
pi;mt;Pali
lo;mt;Lao
ln;mt;Lingaljan
lv;mt;Latvjan (Lettix)
lu;mt;Luba-Katanga
lt;mt;Litwanjan
srr;mt;Serer
kos;mt;Kosrejan
kok;mt;Konkani
mg;mt;Malagażi
mh;mt;Marxall
mk;mt;Maċedonjan
ml;mt;Malajalam
mi;mt;Maori
mn;mt;Mongoljan
mo;mt;Moldavjan
mr;mt;Marati
mt;mt;Malti
sr_Latn;mt;Serb (Latin)
ms;mt;Malajan
my;mt;Burmiż
na;mt;Nawuru
peo;mt;Persjan Antik
nb;mt;Bokmahal Norveġiż
nd;mt;Ndebele, ta’ Fuq
ne;mt;Nepaliż
znd;mt;Żande
cus;mt;Kuxtiku (Oħra)
ng;mt;Ndonga
jpr;mt;Lhudi-Persjan
kpe;mt;Kpelle
nl;mt;Olandiż
nyn;mt;Nyankole
nym;mt;Njamweżi
jv;mt;Ġavaniż
myv;mt;Erzya
nyo;mt;Njoro
afh;mt;Afriħili
him;mt;Ħimaċali
hil;mt;Hiligaynon
myn;mt;Majan
kj;mt;Kuanyama
tvl;mt;Tuvalu
ki;mt;Kikuju
kmb;mt;Kimbundu
kg;mt;Kongo
inc;mt;Indjan (Oħra)
hit;mt;Ħittit
ka;mt;Ġorġjan
sla;mt;Slavic (Other)
nzi;mt;Nżima
bej;mt;Beja
kw;mt;Korniku
ky;mt;Kirgiż
ks;mt;Kaxmiri
ku;mt;Kurdiż
kv;mt;Komi
ber;mt;Beber
ko;mt;Korejan
ine;mt;Indo-Ewropew
inh;mt;Ingush
tut;mt;Altajk (Oħra)
kr;mt;Kanuri
kk;mt;Każak
bem;mt;Bemba
kl;mt;Kalallisut
km;mt;Kmer
kn;mt;Kannada
li;mt;Limburgish
tum;mt;Tumbuka
tup;mt;Tupi languages
afa;mt;Afro-Asjatiku (Oħra)
lg;mt;Ganda
la;mt;Latin
lb;mt;Letżburgiż
hr;mt;Kroat
mwr;mt;Marwari
wal;mt;Walamo
ht;mt;Haitian
wak;mt;Lingwi Wakaxani
snk;mt;Soninke
hu;mt;Ungeriż
bho;mt;Bojpuri
xal;mt;Kalmyk
mwl;mt;Mirandiż
hi;mt;Ħindi
ho;mt;Ħiri Motu
war;mt;Waraj
was;mt;Waxo
id;mt;Indoneżjan
ia;mt;Interlingua
ig;mt;Igbo
ie;mt;Interlingue
hz;mt;Ħerero
hy;mt;Armenjan
ady;mt;Adyghe
smn;mt;Inari Sami
ilo;mt;Iloko
is;mt;Iżlandiż
it;mt;Taljan
iu;mt;Inukitut
smj;mt;Lule Sami
ii;mt;Sichuan Yi
ach;mt;Akoli
ik;mt;Inupjak
sms;mt;Skolt Sami
ace;mt;Aċiniż
io;mt;Ido
ada;mt;Adangme
sma;mt;Southern Sami
smi;mt;Sami languages (Other)
dyu;mt;Djula
ja;mt;Ġappuniż
xh;mt;Ħoża
pon;mt;Ponpejan
lol;mt;Mongo
moh;mt;Moħak
wo;mt;Wolof
cmc;mt;Lingwi Ċamiki
mos;mt;Mossi
wa;mt;Walloon
loz;mt;Lożi
vi;mt;Vjetnamiż
syr;mt;Sirjan
tsi;mt;Zimxjan
rup;mt;Aromanijan
nwc;mt;Classical Newari
vo;mt;Volapuk
uz;mt;Użbek
ve;mt;Venda
fur;mt;Frijuljan
uk;mt;Ukranjan
ug;mt;Wigur
ewo;mt;Ewondo
ur;mt;Urdu
ty;mt;Taħitjan
tt;mt;Tatar
tw;mt;Twi
hmn;mt;Ħmong
gmh;mt;Ġermaniku, Medjevali Pulit
doi;mt;Dogri
to;mt;Tongan (Gżejjer ta’ Tonga)
tmh;mt;Tamaxek
tn;mt;Zwana
nub;mt;Lingwi Nubjani
tl;mt;Tagalog
ts;mt;Tsonga
tr;mt;Tork
cop;mt;Koptiku
ssa;mt;Nilo-Saħaram
tg;mt;Taġik
te;mt;Telugu
tk;mt;Turkmeni
ti;mt;Tigrinja
th;mt;Tajlandiż
ta;mt;Tamil
su;mt;Sundaniż
sv;mt;Svediż
ss;mt;Swati
cpf;mt;Kreoli u Piġini, Bbażat fuq il-Franċiż (Oħra)
st;mt;Soto, t’Isfel
cpe;mt;Kreoli u Piġini, Bbażat fuq l-Ingliż (Oħra)
lua;mt;Luba-Luluwa
oto;mt;Lingwi Otomjani
sw;mt;Swaħili
sl;mt;Sloven
sk;mt;Slovakk
sn;mt;Xona
sm;mt;Samojan
cpp;mt;Kreoli u Piġini, Bbażat fuq il-Portugiż (Oħra)
so;mt;Somali
sr;mt;Serb
sq;mt;Albaniż
sd;mt;Sindi
ota;mt;Tork (Imperu Ottoman)
sc;mt;Sardinjan
se;mt;Sami ta’ Fuq
sh;mt;Serbo-Kroat
sg;mt;Sango
si;mt;Sinħaliż
goh;mt;Ġermaniku, Antik Pulit
dum;mt;Olandiż, Medjevali
nso;mt;Soto, ta’ Fuq
sa;mt;Sanskrit
zun;mt;Żuni
gon;mt;Gondi
gor;mt;Gorontalo
ru;mt;Russu
got;mt;Gotiku
dua;mt;Dwala
rw;mt;Kinjarwanda
car;mt;Karib
ro;mt;Rumen
ypk;mt;Lingwi Jupiċi
cau;mt;Kawkasu (Oħra)
rn;mt;Rundi
rm;mt;Reto-Romanz
tog;mt;Tonga (Njasa)
en_US;mt;Ingliż (Stati Uniti)
iro;mt;Lingwi Irogwjani
pra;mt;Lingwi Prakriti
suk;mt;Sukuma
hsb;mt;Upper Sorbian
sus;mt;Susu
cad;mt;Kaddo
sux;mt;Sumerjan
dra;mt;Dravidjan (Oħra)
qu;mt;Keċwa
es_ES;mt;Spanjol (Spanja)
cai;mt;Amerika Ċentrali (Oħra)
crh;mt;Crimean Turkish; Crimean Tatar
grb;mt;Ġerbo
mus;mt;Kriek
tpi;mt;Tok Pisin
crp;mt;Kreoli u Piġini (Oħra)
grc;mt;Grieg, Antik (to 1453)
mul;mt;Lingwi Diversi
mun;mt;Lingwi tal-Munda
frm;mt;Franċiż, Medjevali
fro;mt;Franċiż, Antik
ira;mt;Iranjan
csb;mt;Kashubian
pro;mt;Provenzal, Antik (sa l-1500)
pt;mt;Portugiż
dsb;mt;Lower Sorbian
jrb;mt;Lhudi-Għarbi
ps;mt;Paxtun
tai;mt;Tai (Oħra)
sad;mt;Sandawe
tig;mt;Tigre
fon;mt;Fon
sah;mt;Jakut
sai;mt;Indjan tal-Amerika t’Isfel (Oħra)
sal;mt;Salixan
sam;mt;Samritan
kbd;mt;Kabardian
cch;mt;Atsam
umb;mt;Umbundu
en_GB;mt;Ingliż (Ingilterra)
arc;mt;Aramajk
arp;mt;Arapaħo
dgr;mt;Dogrib
arn;mt;Arawkanjan
bra;mt;Braj
kaw;mt;Kawi
arw;mt;Arawak
kar;mt;Karen
nog;mt;Nogai
art;mt;Artifiċjali (Oħra)
kam;mt;Kamba
non;mt;Skandinav, Antik
mga;mt;Irlandiż, Medjevali (900-1200)
und;mt;Indeterminat
elx;mt;Elamit
kac;mt;Kaċin
kab;mt;Kabuljan
kaa;mt;Kara-Kalpak
sat;mt;Santali
sas;mt;Saska
tiv;mt;Tiv
tkl;mt;Tokelau
pt_BR;mt;Portugiż (Brażil)
apa;mt;Lingwi Apaċi
gwi;mt;Gwiċin
osa;mt;Osaġjan
btk;mt;Batak
cel;mt;Keltiku (Oħra)
del;mt;Delawerjan
den;mt;Slav
lez;mt;Leżgjan
ceb;mt;Sibwano
min;mt;Minangkabaw
hup;mt;Ħupa
tli;mt;Tlingit
enm;mt;Ingliż, Medjevali (1100-1500)
bua;mt;Burjat
tlh;mt;Klingon
mis;mt;Lingwi Oħra
mic;mt;Mikmek
bug;mt;Buginiż
tem;mt;Timne
sit_NP;mt;Sino-Tibetjani (Oħra) (Nepal)
chb;mt;Ċibċa
egy;mt;Eġizzjan (Antik)
de_AT;mt;Ġermaniż (Awstrija)
awa;mt;Awadħi
chy;mt;Xajenn
chg;mt;Ċagataj
chk;mt;Ċukese
mkh;mt;Mon-Kmer (Oħra)
cho;mt;Ċostaw
chp;mt;Ċipewjan
chm;mt;Mari
chn;mt;Ġargon taċ-Ċinuk
tet;mt;Tetum
ter;mt;Tereno
chr;mt;Ċerokij
zh;mt;Ċiniż
fil;mt;Filippino
ast;mt;Asturian
za;mt;Żwang
mni;mt;Manipuri
din;mt;Dinka
fiu;mt;Finno - Ugrijan
zu;mt;Żulu
mno;mt;Lingwi Manobo
vot;mt;Votik
uga;mt;Ugaritiku
mnc;mt;Manċurjan
ath;mt;Lingwi Atabaskani
nic;mt;Niġerjan - Kordofanjan
nia;mt;Nijas
byn;mt;Blin
de_CH;mt;Ġermaniż (Svizzera)
niu;mt;Nijuwejan
eka;mt;Ekajuk
aus;mt;Lingwi Awstraljani
yo;mt;Joruba
yi;mt;Jiddix
zh_Hant;nb;kinesisk (tradisjonell han)
fy;nb;vestfrisisk
gd;nb;skotsk gælisk
ga;nb;irsk
shn;nb;shan
fj;nb;fijiansk
ff;nb;fulani
fi;nb;finsk
fr;nb;fransk
fo;nb;færøysk
zh_Hans;nb;kinesisk (forenklet han)
udm;nb;udmurt
sga;nb;gammelirsk
he;nb;hebraisk
ha;nb;hausa
sgn;nb;tegnspråk
gn;nb;guarani
gil;nb;kiribatisk
gl;nb;galisisk
ain;nb;ainu
gv;nb;manx
bik;nb;bikol
gu;nb;gujarati
iba;nb;iban
bin;nb;bini
dv;nb;divehi
dz;nb;dzongkha
de;nb;tysk
mai;nb;maithili
fr_CH;nb;fransk (Sveits)
mak;nb;makasar
mad;nb;maduresisk
mag;nb;magahi
map;nb;austronesisk
fr_CA;nb;fransk (Canada)
mas;nb;masai
wen;nb;sorbisk språk
nl_BE;nb;nederlandsk (Belgia)
man;nb;mandingo
sid;nb;sidamo
eu;nb;baskisk
khi;nb;khoisanspråk
fa;nb;persisk
kha;nb;khasi
bla;nb;siksika
sit;nb;sino-tibetansk språk
new;nb;newari
ee;nb;ewe
el;nb;gresk
sio;nb;siouxspråk
